	(1)	(2)	(3)	(4)	(5)
VARIABLES	POLS	Between	Within	Primeras Diferencias	Efectos Aleatorios
					
educ	0.104***	0.091***			0.108***
	(0.005)	(0.011)			(0.009)
exper	0.050***	0.028**	0.060***		0.058***
	(0.003)	(0.011)	(0.003)		(0.003)
casado	0.113***	0.142***	0.061***		0.076***
	(0.016)	(0.041)	(0.018)		(0.017)
sindicato	0.184***	0.259***	0.084***		0.110***
	(0.017)	(0.046)	(0.019)		(0.018)
afro	-0.142***	-0.141***			-0.141***
	(0.024)	(0.049)			(0.048)
hispano	0.013	0.010			0.016
	(0.021)	(0.043)			(0.043)
o.educ			-		
					
o.afro			-		
					
o.hispano			-		
					
oD.educ				0.000	
				(0.000)	
D.exper				0.065***	
				(0.007)	
D.casado				0.043*	
				(0.023)	
D.sindicato				0.042**	
				(0.020)	
oD.afro				0.000	
				(0.000)	
oD.hispano				0.000	
				(0.000)	
Constant	0.023	0.284	1.212***		-0.048
	(0.063)	(0.178)	(0.017)		(0.111)
					
Observations	4,360	4,360	4,360	3,815	4,360
R-squared	0.184	0.216	0.167	0.025	
Number of id		545	545		545
Standard errors in parentheses					
*** p<0.01, ** p<0.05, * p<0.1					
