time,cpi,wage
1983M12,101.4,8.3199997
1984M01,102.1,8.3699999
1984M02,102.6,8.3599997
1984M03,102.9,8.3999996
1984M04,103.3,8.4399996
1984M05,103.5,8.4300003
1984M06,103.7,8.4700003
1984M07,104.1,8.5100002
1984M08,104.4,8.5100002
1984M09,104.7,8.5500002
1984M10,105.1,8.54
1984M11,105.3,8.5600004
1984M12,105.5,8.6000004
1985M01,105.7,8.6000004
1985M02,106.3,8.6300001
1985M03,106.8,8.6599998
1985M04,107,8.6800003
1985M05,107.2,8.6899996
1985M06,107.5,8.7299995
1985M07,107.7,8.7299995
1985M08,107.9,8.7600002
1985M09,108.1,8.79
1985M10,108.5,8.7799997
1985M11,109,8.8100004
1985M12,109.5,8.8599997
1986M01,109.9,8.8400002
1986M02,109.7,8.8699999
1986M03,109.1,8.8800001
1986M04,108.7,8.8800001
1986M05,109,8.8900003
1986M06,109.4,8.8999996
1986M07,109.5,8.9099998
1986M08,109.6,8.9300003
1986M09,110,8.9300003
1986M10,110.2,8.9499998
1986M11,110.4,8.9899998
1986M12,110.8,9
1987M01,111.4,9.0100002
1987M02,111.8,9.04
1987M03,112.2,9.0600004
1987M04,112.7,9.0699997
1987M05,113,9.1000004
1987M06,113.5,9.1000004
1987M07,113.8,9.1099997
1987M08,114.3,9.1700001
1987M09,114.7,9.1800003
1987M10,115,9.21
1987M11,115.4,9.2600002
1987M12,115.6,9.2700005
1988M01,116,9.2799997
1988M02,116.2,9.2799997
1988M03,116.5,9.3000002
1988M04,117.2,9.3500004
1988M05,117.5,9.3999996
1988M06,118,9.4099998
1988M07,118.5,9.4399996
1988M08,119,9.4499998
1988M09,119.5,9.5
1988M10,119.9,9.5500002
1988M11,120.3,9.5699997
1988M12,120.7,9.5900002
1989M01,121.2,9.6400003
1989M02,121.6,9.6700001
1989M03,122.2,9.6899996
1989M04,123.1,9.7399998
1989M05,123.7,9.7200003
1989M06,124.1,9.7600002
1989M07,124.5,9.8100004
1989M08,124.5,9.8199997
1989M09,124.8,9.8599997
1989M10,125.4,9.9200001
1989M11,125.9,9.9200001
1989M12,126.3,9.9700003
1990M01,127.5,10
1990M02,128,10.06
1990M03,128.60001,10.1
1990M04,128.89999,10.12
1990M05,129.10001,10.14
1990M06,129.89999,10.19
1990M07,130.5,10.21
1990M08,131.60001,10.23
1990M09,132.5,10.27
1990M10,133.39999,10.29
1990M11,133.7,10.31
1990M12,134.2,10.33
1991M01,134.7,10.36
1991M02,134.8,10.38
1991M03,134.8,10.4
1991M04,135.10001,10.44
1991M05,135.60001,10.47
1991M06,136,10.51
1991M07,136.2,10.53
1991M08,136.60001,10.54
1991M09,137,10.57
1991M10,137.2,10.58
1991M11,137.8,10.6
1991M12,138.2,10.63
1992M01,138.3,10.63
1992M02,138.60001,10.66
1992M03,139.10001,10.69
1992M04,139.39999,10.71
1992M05,139.7,10.73
1992M06,140.10001,10.75
1992M07,140.5,10.77
1992M08,140.8,10.81
1992M09,141.10001,10.81
1992M10,141.7,10.84
1992M11,142.10001,10.86
1992M12,142.3,10.88
1993M01,142.8,10.92
