month,s,f
1979m1,719.40433,715.33551
1979m2,755.94257,741.56215
1979m3,766.87596,748.37945
1979m4,741.97641,741.83123
1979m5,718.79266,750.61242
1979m6,763.64395,800.12383
1979m7,735.71233,768.02583
1979m8,696.58523,732.00464
1979m9,678.35701,728.20702
1979m10,621.86258,715.90484
1979m11,603.16934,709.58636
1979m12,598.79462,708.6367
1980m1,574.43387,687.5013
1980m2,580.49022,694.31523
1980m3,543.51338,651.89381
1980m4,514.34118,621.4276
1980m5,528.9981,611.34831
1980m6,532.61351,621.74661
1980m7,624.48081,700.27303
1980m8,636.28131,693.35607
1980m9,671.06608,720.30386
1980m10,683.18198,693.36815
1980m11,730.2513,714.18545
1980m12,641.05017,696.54601
1981m1,618.51495,703.50017
1981m2,596.78664,706.63426
1981m3,592.94889,687.62613
1981m4,621.88057,720.06501
1981m5,601.59142,675.46339
1981m6,561.69861,645.83051
1981m7,567.61367,651.74211
1981m8,529.43347,610.82908
1981m9,490.83987,578.36866
1981m10,485.15404,575.83737
1981m11,481.94944,547.60104
1981m12,474.35324,524.94649
1982m1,477.04897,525.34442
1982m2,467.93075,534.50172
1982m3,464.97129,511.79605
1982m4,473.11794,540.3012
1982m5,476.96338,532.16764
1982m6,452.00187,514.9382
1982m7,444.46133,496.95545
1982m8,409.23236,466.02338
1982m9,386.06689,441.77845
1982m10,370.55032,422.65706
1982m11,402.01108,433.63189
1982m12,406.00563,442.90361
1983m1,411.85077,459.88373
1983m2,417.67092,483.4463
1983m3,425.62771,487.4509
1983m4,449.48106,519.29142
1983m5,441.14282,497.63804
1983m6,426.32396,477.99214
1983m7,460.15467,524.41936
1983m8,590.52104,613.36265
1983m9,623.8281,572.96332
1983m10,586.96571,486.81269
1983m11,568.75721,488.38339
1983m12,551.97657,498.01665
1984m1,528.22253,514.22548
1984m2,504.61835,515.9725
1984m3,542.94135,529.15918
1984m4,543.27877,525.61251
1984m5,585.55766,529.50791
1984m6,533.30216,529.25026
1984m7,460.89781,470.63013
1984m8,444.16309,464.52535
1984m9,413.6794,433.19129
1984m10,412.58829,440.80748
1984m11,413.43232,440.38715
1984m12,400.33906,433.46951
1985m1,397.96333,424.73698
1985m2,391.76811,427.28643
1985m3,397.84845,420.31411
1985m4,399.49558,429.81867
1985m5,384.94551,409.00642
1985m6,379.25978,400.15842
1985m7,364.94701,388.94678
1985m8,339.939,360.06021
1985m9,332.20896,359.12159
1985m10,321.19449,353.33547
1985m11,329.24242,340.83767
1985m12,337.56072,354.97291
1986m1,346.14598,357.30097
1986m2,344.5084,351.80975
1986m3,349.64369,354.0627
1986m4,345.67151,353.01472
1986m5,346.0643,358.25051
1986m6,343.16967,347.26654
1986m7,336.76711,344.4099
1986m8,323.73439,329.58238
1986m9,311.11675,326.33973
1986m10,303.59703,325.023
1986m11,317.32318,325.16895
1986m12,310.5546,325.19608
1987m1,309.52269,317.72784
1987m2,303.5104,310.91819
1987m3,303.1905,314.19948
1987m4,314.21719,336.93509
1987m5,338.51268,371.88951
1987m6,344.73383,379.0765
1987m7,334.47008,349.49004
1987m8,319.34471,326.21096
1987m9,316.74241,331.84835
1987m10,320.64195,340.96413
1987m11,337.80759,352.68823
1987m12,358.43546,370.57436
1988m1,372.2837,396.0655
