quarter,RGDP,RCONS,RINV,RGOVT
1947Q1,1.571,1.017,0.170,0.185
1947Q2,1.569,1.034,0.157,0.186
1947Q3,1.568,1.038,0.152,0.186
1947Q4,1.591,1.038,0.183,0.179
1948Q1,1.616,1.043,0.203,0.185
1948Q2,1.645,1.054,0.216,0.197
1948Q3,1.654,1.056,0.218,0.201
1948Q4,1.658,1.065,0.208,0.212
1949Q1,1.633,1.066,0.175,0.216
1949Q2,1.628,1.083,0.151,0.224
1949Q3,1.647,1.085,0.164,0.221
1949Q4,1.630,1.100,0.155,0.210
1950Q1,1.697,1.119,0.194,0.200
1950Q2,1.747,1.137,0.215,0.205
1950Q3,1.816,1.195,0.235,0.198
1950Q4,1.849,1.160,0.266,0.221
1951Q1,1.871,1.187,0.238,0.264
1951Q2,1.903,1.155,0.244,0.321
1951Q3,1.941,1.168,0.225,0.376
1951Q4,1.944,1.175,0.206,0.406
1952Q1,1.965,1.178,0.211,0.424
1952Q2,1.966,1.201,0.193,0.441
1952Q3,1.979,1.206,0.204,0.452
1952Q4,2.044,1.248,0.218,0.460
1953Q1,2.082,1.263,0.223,0.477
1953Q2,2.098,1.271,0.223,0.492
1953Q3,2.085,1.268,0.218,0.479
1953Q4,2.053,1.260,0.201,0.472
1954Q1,2.042,1.264,0.199,0.447
1954Q2,2.044,1.280,0.199,0.423
1954Q3,2.067,1.297,0.209,0.402
1954Q4,2.108,1.324,0.218,0.397
1955Q1,2.168,1.354,0.242,0.387
1955Q2,2.204,1.379,0.257,0.379
1955Q3,2.233,1.396,0.260,0.383
1955Q4,2.245,1.413,0.266,0.368
1956Q1,2.235,1.416,0.257,0.365
1956Q2,2.253,1.420,0.254,0.375
1956Q3,2.250,1.423,0.251,0.368
1956Q4,2.286,1.443,0.248,0.381
1957Q1,2.300,1.453,0.244,0.388
1957Q2,2.295,1.455,0.244,0.382
1957Q3,2.317,1.467,0.250,0.383
1957Q4,2.292,1.468,0.229,0.389
1958Q1,2.230,1.447,0.212,0.375
1958Q2,2.243,1.459,0.207,0.387
1958Q3,2.295,1.482,0.224,0.385
1958Q4,2.348,1.501,0.245,0.394
1959Q1,2.393,1.526,0.258,0.388
1959Q2,2.456,1.552,0.280,0.397
1959Q3,2.454,1.569,0.260,0.405
1959Q4,2.463,1.571,0.269,0.399
1960Q1,2.517,1.586,0.298,0.381
1960Q2,2.505,1.605,0.268,0.380
1960Q3,2.509,1.599,0.266,0.392
1960Q4,2.476,1.600,0.234,0.393
1961Q1,2.491,1.600,0.239,0.393
1961Q2,2.538,1.624,0.257,0.396
1961Q3,2.579,1.632,0.279,0.407
1961Q4,2.632,1.665,0.284,0.414
1962Q1,2.679,1.683,0.301,0.430
1962Q2,2.708,1.703,0.298,0.432
1962Q3,2.733,1.717,0.303,0.444
1962Q4,2.740,1.742,0.293,0.442
1963Q1,2.776,1.753,0.309,0.431
1963Q2,2.811,1.770,0.313,0.427
1963Q3,2.864,1.794,0.324,0.451
1963Q4,2.886,1.809,0.328,0.439
1964Q1,2.950,1.845,0.341,0.437
1964Q2,2.985,1.878,0.340,0.434
1964Q3,3.025,1.913,0.348,0.431
1964Q4,3.034,1.918,0.350,0.424
1965Q1,3.108,1.960,0.386,0.419
1965Q2,3.150,1.982,0.386,0.420
1965Q3,3.214,2.016,0.399,0.437
1965Q4,3.292,2.073,0.401,0.449
1966Q1,3.372,2.103,0.435,0.459
1966Q2,3.384,2.109,0.427,0.471
1966Q3,3.406,2.133,0.423,0.490
1966Q4,3.434,2.142,0.425,0.494
1967Q1,3.464,2.155,0.413,0.528
1967Q2,3.464,2.183,0.396,0.521
1967Q3,3.492,2.195,0.407,0.529
1967Q4,3.518,2.208,0.416,0.528
1968Q1,3.591,2.260,0.425,0.537
1968Q2,3.652,2.295,0.442,0.533
1968Q3,3.676,2.338,0.428,0.528
1968Q4,3.692,2.349,0.432,0.525
1969Q1,3.750,2.375,0.461,0.522
1969Q2,3.761,2.390,0.457,0.514
1969Q3,3.784,2.401,0.468,0.514
1969Q4,3.766,2.420,0.443,0.500
1970Q1,3.760,2.434,0.429,0.490
1970Q2,3.767,2.446,0.430,0.475
1970Q3,3.801,2.467,0.437,0.468
1970Q4,3.760,2.460,0.412,0.465
1971Q1,3.864,2.507,0.466,0.447
1971Q2,3.886,2.531,0.480,0.441
1971Q3,3.917,2.551,0.486,0.439
1971Q4,3.928,2.593,0.471,0.425
1972Q1,3.998,2.628,0.504,0.427
1972Q2,4.092,2.677,0.535,0.434
1972Q3,4.131,2.718,0.543,0.410
1972Q4,4.199,2.782,0.546,0.409
1973Q1,4.305,2.832,0.580,0.416
1973Q2,4.355,2.831,0.607,0.409
1973Q3,4.332,2.841,0.584,0.392
1973Q4,4.373,2.832,0.606,0.392
1974Q1,4.335,2.808,0.567,0.405
1974Q2,4.348,2.819,0.565,0.404
1974Q3,4.306,2.832,0.533,0.406
1974Q4,4.289,2.791,0.538,0.409
1975Q1,4.238,2.815,0.444,0.404
1975Q2,4.269,2.861,0.428,0.401
1975Q3,4.341,2.901,0.464,0.411
1975Q4,4.398,2.931,0.477,0.412
1976Q1,4.497,2.990,0.526,0.408
1976Q2,4.530,3.016,0.549,0.408
1976Q3,4.552,3.048,0.550,0.406
1976Q4,4.585,3.088,0.553,0.407
1977Q1,4.640,3.125,0.581,0.411
1977Q2,4.731,3.142,0.625,0.418
1977Q3,4.816,3.171,0.660,0.420
1977Q4,4.815,3.219,0.642,0.416
1978Q1,4.831,3.237,0.654,0.417
1978Q2,5.021,3.306,0.699,0.427
1978Q3,5.071,3.321,0.721,0.429
1978Q4,5.137,3.348,0.737,0.433
1979Q1,5.147,3.365,0.737,0.433
1979Q2,5.152,3.364,0.735,0.439
1979Q3,5.189,3.397,0.721,0.438
1979Q4,5.205,3.407,0.707,0.438
1980Q1,5.221,3.402,0.702,0.452
1980Q2,5.116,3.326,0.639,0.463
1980Q3,5.107,3.362,0.590,0.457
1980Q4,5.202,3.407,0.651,0.458
1981Q1,5.308,3.421,0.716,0.468
1981Q2,5.266,3.422,0.682,0.482
1981Q3,5.330,3.436,0.725,0.481
1981Q4,5.263,3.410,0.696,0.486
1982Q1,5.177,3.432,0.624,0.487
1982Q2,5.205,3.444,0.623,0.492
1982Q3,5.185,3.471,0.616,0.499
1982Q4,5.190,3.534,0.562,0.514
1983Q1,5.254,3.569,0.581,0.520
1983Q2,5.372,3.640,0.638,0.531
1983Q3,5.478,3.704,0.680,0.546
1983Q4,5.590,3.763,0.751,0.527
1984Q1,5.700,3.795,0.830,0.531
1984Q2,5.798,3.849,0.858,0.548
