mes,TCN
Mar-02,2.3989
Apr-02,2.8551
May-02,3.3287
Jun-02,3.6213
Jul-02,3.6071
Aug-02,3.6207
Sep-02,3.6431
Oct-02,3.6519
Nov-02,3.5256
Dec-02,3.4902
Jan-03,3.2582
Feb-03,3.1632
Mar-03,3.0747
Apr-03,2.8946
May-03,2.8357
Jun-03,2.8089
Jul-03,2.8013
Aug-03,2.9285
Sep-03,2.9209
Oct-03,2.8591
Nov-03,2.8839
Dec-03,2.9606
Jan-04,2.8928
Feb-04,2.9319
Mar-04,2.8976
Apr-04,2.8359
May-04,2.9197
Jun-04,2.9603
Jul-04,2.9552
Aug-04,3.0136
Sep-04,2.996
Oct-04,2.9692
Nov-04,2.9546
Dec-04,2.9709
Jan-05,2.946
Feb-05,2.9153
Mar-05,2.9266
Apr-05,2.9004
May-05,2.8909
Jun-05,2.8836
Jul-05,2.8696
Aug-05,2.888
Sep-05,2.9117
Oct-05,2.966
Nov-05,2.9672
Dec-05,3.0145
Jan-06,3.046
Feb-06,3.0689
Mar-06,3.0763
Apr-06,3.0663
May-06,3.0535
Jun-06,3.0813
Jul-06,3.082
Aug-06,3.079
Sep-06,3.1001
Oct-06,3.0985
Nov-06,3.0757
Dec-06,3.0603
Jan-07,3.085
Feb-07,3.1026
Mar-07,3.101
Apr-07,3.0891
May-07,3.08
Jun-07,3.0793
Jul-07,3.1116
Aug-07,3.1524
Sep-07,3.1475
Oct-07,3.1604
Nov-07,3.1359
Dec-07,3.1397
Jan-08,3.1444
Feb-08,3.1583
Mar-08,3.1558
Apr-08,3.1665
May-08,3.1511
Jun-08,3.0434
Jul-08,3.0223
Aug-08,3.0333
Sep-08,3.0824
Oct-08,3.2385
Nov-08,3.3292
Dec-08,3.4226
Enero-09,3.464
Febrero-09,3.5115
Marzo-09,3.654
abril-09,3.6934
mayo-09,3.7245
junio-09,3.7681
julio-09,3.8097
agosto-09,3.8392
septiembre-09,3.8424
octubre-09,3.8262
Nov-09,3.811
Dec-09,3.807
Jan-10,3.8042
Feb-10,3.8512
Mar-10,3.8627
Apr-10,3.8761
May-10,3.902
Jun-10,3.9265
Jul-10,3.9348
Aug-10,3.9376
Sep-10,3.9519
Oct-10,3.957
Nov-10,3.9676
Dec-10,3.9776
Jan-11,3.9813
Feb-11,4.022
Mar-11,4.0372
Apr-11,4.0655
May-11,4.0839
Jun-11,4.096
Jul-11,4.1276
Aug-11,4.168
Sep-11,4.2042
Oct-11,4.2221
Nov-11,4.2601
Dec-11,4.2888
Jan-12,4.3206
Feb-12,4.3463
Mar-12,4.3563
Apr-12,4.3978
May-12,4.4504
Jun-12,4.4978
Jul-12,4.5528
Aug-12,4.6098
Sep-12,4.6699
Oct-12,4.7299
Nov-12,4.7974
Dec-12,4.88
Jan-13,4.9486
Feb-13,5.0111
Mar-13,5.084
Apr-13,5.1555
May-13,5.2399
Jun-13,5.3292
Jul-13,5.4409
Aug-13,5.5814
Sep-13,5.7371
Oct-13,5.8482
Nov-13,6.0149
Dec-13,6.3192
Jan-14,7.0967
Feb-14,7.8565
Mar-14,7.9313
Apr-14,8.0013
May-14,8.0427
Jun-14,8.1255
Jul-14,8.1606
Aug-14,8.3164
Sep-14,8.4193
Oct-14,8.4803
Nov-14,8.514
Dec-14,8.5495
Jan-15,8.6024
Feb-15,8.6859
Mar-15,8.779
Apr-15,8.8657
May-15,8.9487
Jun-15,9.0416
Jul-15,9.1425
Aug-15,9.2433
Sep-15,9.3652
Oct-15,9.4896
Nov-15,9.6272
Dec-15,11.4278
Jan-16,13.6548
Feb-16,14.8146
Mar-16,14.9615
Apr-16,14.4095
May-16,14.13772381
Jun-16,14.1408
Jul-16,14.909385
Aug-16,14.84980909
Sep-16,15.10073636
Oct-16,15.181
Nov-16,15.3399
Dec-16,15.8296
Jan-17,15.9065
Feb-17,15.5983
Mar-17,15.5237
Apr-17,15.36
May-17,15.6981
Jun-17,16.1166
Jul-17,17.169
Aug-17,17.4165
Sep-17,17.2465
Oct-17,17.4528
Nov-17,17.4925
Dec-17,17.7001
Jan-18,19.02903636
Feb-18,19.84092778
Mar-18,20.2378
Apr-18,20.2349
May-18,23.6687
Jun-18,26.5342
Jul-18,27.6247
Aug-18,30.1245
Sep-18,38.59
Oct-18,37.1202
Nov-18,36.459
Dec-18,37.8852
Jan-19,37.4069
Feb-19,38.4086
Mar-19,41.3624
Apr-19,43.2338
May-19,44.93321364
Jun-19,43.78935
