mes,ipc
Dec-16,100
Jan-17,101.5859
Feb-17,103.6859
Mar-17,106.1476
Apr-17,108.9667
May-17,110.5301
Jun-17,111.8477
Jul-17,113.7852
Aug-17,115.3819
Sep-17,117.5719
Oct-17,119.3528
Nov-17,120.994
Dec-17,124.7956
Jan-18,126.9887
Feb-18,130.0606
Mar-18,133.1054
Apr-18,136.7512
May-18,139.5893
Jun-18,144.8053
Jul-18,149.2966
Aug-18,155.1034
Sep-18,165.2383
Oct-18,174.1473
Nov-18,179.6388
Dec-18,184.2552
Jan-19,189.6101
Feb-19,196.7501
Mar-19,205.9571
Apr-19,213.0517
May-19,219.5691
Jun-19,225.537
