day,r
7/2/1996,3
7/3/1996,3
7/4/1996,2
7/5/1996,1
7/8/1996,-2
7/9/1996,-4
7/10/1996,-5
7/11/1996,-4
7/12/1996,-7
7/15/1996,-7
7/16/1996,-7
7/17/1996,-6
7/18/1996,-8
7/19/1996,-7
7/22/1996,-8
7/23/1996,-7
7/24/1996,-7
7/25/1996,-6
7/26/1996,-5
7/29/1996,-6
7/30/1996,-8
7/31/1996,-8
8/1/1996,-9
8/2/1996,-10
8/5/1996,-9
8/6/1996,-7
8/7/1996,-5
8/8/1996,-7
8/9/1996,-7
8/12/1996,-5
8/13/1996,-7
8/14/1996,-2
8/15/1996,-2
8/16/1996,-2
8/19/1996,-1
8/20/1996,-2
8/21/1996,-3
8/22/1996,-3
8/23/1996,-4
8/26/1996,-5
8/27/1996,-11
8/28/1996,-10
8/29/1996,-8
8/30/1996,-9
9/2/1996,-8
9/3/1996,-8
9/4/1996,-8
9/5/1996,-10
9/6/1996,-11
9/9/1996,-9
9/10/1996,-10
9/11/1996,-9
9/12/1996,-9
9/13/1996,-9
9/16/1996,-10
9/17/1996,-10
9/18/1996,-8
9/19/1996,-9
9/20/1996,-9
9/23/1996,-8
9/24/1996,-9
9/25/1996,-8
9/26/1996,-6
9/27/1996,-1
9/30/1996,-2
10/1/1996,-5
10/2/1996,-5
10/3/1996,-5
10/4/1996,-4
10/7/1996,-3
10/8/1996,-4
10/9/1996,-6
10/10/1996,-5
10/11/1996,-5
10/14/1996,-5
10/15/1996,-6
10/16/1996,-7
10/17/1996,-13
10/18/1996,-6
10/21/1996,-6
10/22/1996,-7
10/23/1996,-7
10/24/1996,-6
10/25/1996,-7
10/28/1996,-6
10/29/1996,-7
10/30/1996,-6
10/31/1996,-6
11/1/1996,-5
11/4/1996,-9
11/5/1996,-10
11/6/1996,-8
11/7/1996,-4
11/8/1996,-6
11/11/1996,-4
11/12/1996,-8
11/13/1996,-7
11/14/1996,-6
11/15/1996,-6
11/18/1996,-5
11/19/1996,-5
11/20/1996,-5
11/21/1996,-4
11/22/1996,-3
11/25/1996,-3
11/26/1996,-4
11/27/1996,-4
11/28/1996,-4
11/29/1996,-4
12/2/1996,-4
12/3/1996,-3
12/4/1996,-2
12/5/1996,-3
12/6/1996,-5
12/9/1996,-5
12/10/1996,-4
12/11/1996,-2
12/12/1996,-4
12/13/1996,-2
12/16/1996,-3
12/17/1996,-5
12/18/1996,-4
12/19/1996,-4
12/20/1996,-4
12/23/1996,-4
12/24/1996,-3
12/25/1996,-2
12/26/1996,-5
12/27/1996,-6
12/30/1996,-5
12/31/1996,-6
1/1/1997,-6
1/2/1997,-5
1/3/1997,-5
1/6/1997,-5
1/7/1997,-4
1/8/1997,-5
1/9/1997,-5
1/10/1997,-5
1/13/1997,-1
1/14/1997,0
1/15/1997,-2
1/16/1997,0
1/17/1997,0
1/20/1997,0
1/21/1997,1
1/22/1997,1
1/23/1997,0
1/24/1997,0
1/27/1997,0
1/28/1997,5
1/29/1997,2
1/30/1997,5
1/31/1997,5
2/3/1997,6
2/4/1997,4
2/5/1997,6
2/6/1997,6
2/7/1997,5
2/10/1997,5
2/11/1997,10
2/12/1997,7
2/13/1997,10
2/14/1997,9
2/17/1997,9
2/18/1997,8
2/19/1997,5
2/20/1997,8
2/21/1997,6
2/24/1997,7
2/25/1997,7
2/26/1997,9
2/27/1997,8
2/28/1997,8
3/3/1997,7
3/4/1997,8
3/5/1997,9
3/6/1997,9
3/7/1997,9
3/10/1997,7
3/11/1997,7.34
3/12/1997,7.67
3/13/1997,7
3/14/1997,6
3/17/1997,4
3/18/1997,2
3/19/1997,0
3/20/1997,0
3/21/1997,1
3/24/1997,1
3/25/1997,-1
3/26/1997,-1
3/27/1997,-2
3/28/1997,2
3/31/1997,1
4/1/1997,1
4/2/1997,5
4/3/1997,1
4/4/1997,2
4/7/1997,1
4/8/1997,0
4/9/1997,2
4/10/1997,5
4/11/1997,4
4/14/1997,3
4/15/1997,3
4/16/1997,1
4/17/1997,-1
4/18/1997,2
4/21/1997,4
4/22/1997,3
4/23/1997,4
4/24/1997,5
4/25/1997,4
4/28/1997,4
4/29/1997,3
4/30/1997,3
5/1/1997,-1
5/2/1997,-2
5/5/1997,-2
5/6/1997,0
5/7/1997,0
5/8/1997,-2
5/9/1997,-3
5/12/1997,-2
5/13/1997,-3
5/14/1997,-8
5/15/1997,-9
5/16/1997,-7
5/19/1997,-7
5/20/1997,-5
5/21/1997,-5
5/22/1997,-6
5/23/1997,-3
5/26/1997,-4
5/27/1997,-3
5/28/1997,-5
5/29/1997,-5
5/30/1997,2
6/2/1997,-7
6/3/1997,-5
6/4/1997,-10
6/5/1997,-8
6/6/1997,-5
6/9/1997,-2
6/10/1997,5
6/11/1997,3
6/12/1997,-5
6/13/1997,-10
6/16/1997,-6
6/17/1997,-6
6/18/1997,-5
6/19/1997,-3
6/20/1997,-4
6/23/1997,-3
6/24/1997,-4
6/25/1997,-3
6/26/1997,-5
6/27/1997,-5
6/30/1997,-2
7/1/1997,-2
7/2/1997,-2
7/3/1997,-3
7/4/1997,-2
7/7/1997,0
7/8/1997,0
7/9/1997,0
7/10/1997,0
7/11/1997,0
7/14/1997,0
7/15/1997,-1
7/16/1997,-4
7/17/1997,-4
7/18/1997,-4
7/21/1997,-5
7/22/1997,-3
7/23/1997,-3
7/24/1997,-3
7/25/1997,-1
7/28/1997,-1
7/29/1997,-3
7/30/1997,-2
7/31/1997,-1
8/1/1997,-1
8/4/1997,-1
8/5/1997,0
8/6/1997,-3
8/7/1997,-2
8/8/1997,-1
8/11/1997,-1
8/12/1997,-3
8/13/1997,-3
8/14/1997,-4
8/15/1997,-5
8/18/1997,-5
8/19/1997,-5
8/20/1997,-6
8/21/1997,-7
8/22/1997,-7
8/25/1997,-5
8/26/1997,-6
8/27/1997,-6
8/28/1997,-9
8/29/1997,-7
9/1/1997,-4
9/2/1997,-3
9/3/1997,-3
9/4/1997,-3
9/5/1997,-3
9/8/1997,-3
9/9/1997,-1
9/10/1997,-4
9/11/1997,-2
9/12/1997,-3
9/15/1997,-3
9/16/1997,-5
9/17/1997,-5
9/18/1997,-4
9/19/1997,-4
9/22/1997,-1
9/23/1997,-2
9/24/1997,-2
9/25/1997,0
9/26/1997,-3
9/29/1997,-2
9/30/1997,-2
10/1/1997,-4
10/2/1997,-2
10/3/1997,-2
10/6/1997,0
10/7/1997,0
10/8/1997,-2
10/9/1997,-1
10/10/1997,0
10/13/1997,-1
10/14/1997,-1
10/15/1997,-1
10/16/1997,0
10/17/1997,0
10/20/1997,2
10/21/1997,3
10/22/1997,3
10/23/1997,3
10/24/1997,3
10/27/1997,3
10/28/1997,4
10/29/1997,7
10/30/1997,4
10/31/1997,6
11/3/1997,6
11/4/1997,6
11/5/1997,6
11/6/1997,8
11/7/1997,9
11/10/1997,9
11/11/1997,6
