	(1)	(2)	(3)	(4)	(5)	(6)	(7)
VARIABLES	Overall	explained	p_explained	specif_err	unexplained	p_unexplained	rwg_error
							
miembros_h			-0.006***	0.016***		-0.084***	-0.001***
			(0.000)	(0.002)		(0.005)	(0.000)
p_muj			0.000***	0.016***		0.003	0.000*
			(0.000)	(0.002)		(0.005)	(0.000)
niños_hog			-0.004***	-0.030***		0.010	-0.004***
			(0.000)	(0.003)		(0.008)	(0.000)
educ_hog			-0.032***	0.039***		0.101***	-0.002***
			(0.000)	(0.001)		(0.004)	(0.000)
jefe_mujer			0.003***	-0.010***		0.009***	0.000
			(0.000)	(0.000)		(0.001)	(0.000)
jefe_edad			0.001***	0.001**		-0.005***	-0.000***
			(0.000)	(0.000)		(0.001)	(0.000)
jefe_cp			0.001***	-0.017***		0.014***	-0.002***
			(0.000)	(0.001)		(0.002)	(0.000)
t_des			-0.011***	-0.023***		0.015***	0.002***
			(0.000)	(0.000)		(0.001)	(0.001)
ing_nolab_hog			-0.002***	0.010***		-0.001**	-0.002***
			(0.000)	(0.000)		(0.001)	(0.000)
ayudas_hog			-0.000***	-0.010***		0.020**	0.000**
			(0.000)	(0.003)		(0.008)	(0.000)
group_1	0.073***						
	(0.000)						
group_c	0.141***						
	(0.001)						
group_2	0.195***						
	(0.002)						
tdifference	-0.121***						
	(0.002)						
t_explained	-0.068***						
	(0.001)						
t_unexplained	-0.054***						
	(0.002)						
total		-0.068***			-0.054***		
		(0.001)			(0.002)		
p_explained		-0.051***					
		(0.000)					
specif_err		-0.017***					
		(0.001)					
rwg_error					-0.008***		
					(0.001)		
p_unexplained					-0.046***		
					(0.002)		
Constant				-0.007**		-0.127***	
				(0.003)		(0.008)	
							
Observations	.	.	.	.	.	.	.
Standard errors in parentheses							
*** p<0.01, ** p<0.05, * p<0.1							
