	(1)	(2)	(3)	(4)	(5)	(6)	(7)
VARIABLES	Overall	explained	p_explained	specif_err	unexplained	p_unexplained	rwg_error
							
miembros_h			-0.041***	-0.041***		0.005***	0.009***
			(0.000)	(0.001)		(0.001)	(0.000)
p_muj			0.009***	-0.032***		0.013***	0.001***
			(0.001)	(0.002)		(0.001)	(0.000)
niños_hog			-0.052***	-0.000***		0.007***	0.022***
			(0.002)	(0.000)		(0.001)	(0.001)
educ_hog			-0.156***	0.195***		0.007***	0.034***
			(0.001)	(0.002)		(0.001)	(0.000)
jefe_mujer			0.000	-0.003***		0.010***	-0.002***
			(0.000)	(0.000)		(0.000)	(0.000)
jefe_edad			-0.009***	-0.000***		-0.001***	0.005***
			(0.000)	(0.000)		(0.000)	(0.000)
jefe_cp			-0.039***	-0.000***		0.006***	0.020***
			(0.000)	(0.000)		(0.000)	(0.000)
t_des			-0.032***	-0.000***		0.008***	0.009***
			(0.000)	(0.000)		(0.000)	(0.000)
ing_nolab_hog			-1.369***	1.367***		-0.001***	0.004***
			(0.055)	(0.055)		(0.000)	(0.001)
ayudas_hog			0.037***	0.000***		0.004***	-0.016***
			(0.002)	(0.000)		(0.001)	(0.001)
group_1	0.069***						
	(0.000)						
group_c	0.000***						
	(0.000)						
group_2	0.176***						
	(0.001)						
tdifference	-0.107***						
	(0.001)						
t_explained	-0.176***						
	(0.001)						
t_unexplained	0.068***						
	(0.000)						
total		-0.176***			0.068***		
		(0.001)			(0.000)		
p_explained		-1.651***					
		(0.055)					
specif_err		1.475***					
		(0.055)					
rwg_error					0.088***		
					(0.000)		
p_unexplained					-0.020***		
					(0.000)		
Constant				-0.011***		-0.077***	
				(0.003)		(0.002)	
							
Observations	.	.	.	.	.	.	.
Standard errors in parentheses							
*** p<0.01, ** p<0.05, * p<0.1							
