	(1)	(2)	(3)	(4)	(5)	(6)	(7)
VARIABLES	Overall	explained	p_explained	specif_err	unexplained	p_unexplained	rwg_error
							
miembros_h			-0.028***	-0.027***		0.054***	-0.005***
			(0.000)	(0.003)		(0.005)	(0.000)
p_muj			0.000***	-0.039***		0.041***	-0.001***
			(0.000)	(0.003)		(0.006)	(0.000)
niños_hog			-0.010***	0.001		0.003	-0.005***
			(0.000)	(0.003)		(0.009)	(0.000)
educ_hog			-0.111***	0.008***		0.122***	-0.004***
			(0.001)	(0.002)		(0.004)	(0.001)
jefe_mujer			0.005***	-0.000		0.007***	0.000
			(0.000)	(0.001)		(0.001)	(0.000)
jefe_edad			0.002***	0.002***		-0.008***	-0.001***
			(0.000)	(0.000)		(0.001)	(0.000)
jefe_cp			0.005***	-0.008***		0.029***	-0.003***
			(0.000)	(0.001)		(0.002)	(0.000)
t_des			-0.019***	-0.003***		0.012***	0.002***
			(0.000)	(0.001)		(0.001)	(0.001)
ing_nolab_hog			-0.009***	0.013***		0.004***	-0.004***
			(0.000)	(0.000)		(0.001)	(0.000)
ayudas_hog			0.000***	-0.065***		0.106***	-0.004***
			(0.000)	(0.004)		(0.010)	(0.000)
group_1	0.358***						
	(0.001)						
group_c	0.540***						
	(0.001)						
group_2	0.594***						
	(0.002)						
tdifference	-0.237***						
	(0.002)						
t_explained	-0.183***						
	(0.001)						
t_unexplained	-0.054***						
	(0.002)						
total		-0.183***			-0.054***		
		(0.001)			(0.002)		
p_explained		-0.165***					
		(0.001)					
specif_err		-0.017***					
		(0.001)					
rwg_error					-0.024***		
					(0.001)		
p_unexplained					-0.030***		
					(0.002)		
Constant				0.100***		-0.399***	
				(0.005)		(0.010)	
							
Observations	.	.	.	.	.	.	.
Standard errors in parentheses							
*** p<0.01, ** p<0.05, * p<0.1							
