	(1)	(2)	(3)	(4)	(5)	(6)	(7)
VARIABLES	Overall	explained	p_explained	specif_err	unexplained	p_unexplained	rwg_error
							
miembros_h			-0.024***	-0.033***		0.032***	-0.004***
			(0.000)	(0.002)		(0.002)	(0.000)
p_muj			-0.000***	-0.029***		0.016***	-0.000
			(0.000)	(0.002)		(0.002)	(0.000)
niños_hog			-0.010***	0.031***		-0.037***	-0.002***
			(0.000)	(0.002)		(0.003)	(0.000)
educ_hog			-0.069***	0.024***		0.124***	-0.010***
			(0.000)	(0.001)		(0.002)	(0.000)
jefe_mujer			0.004***	-0.005***		0.010***	0.000***
			(0.000)	(0.000)		(0.000)	(0.000)
jefe_edad			0.001***	0.003***		-0.007***	-0.000***
			(0.000)	(0.000)		(0.000)	(0.000)
jefe_cp			0.005***	-0.015***		0.021***	-0.001***
			(0.000)	(0.001)		(0.001)	(0.000)
t_des			-0.019***	-0.012***		0.015***	-0.000**
			(0.000)	(0.000)		(0.000)	(0.000)
ing_nolab_hog			-0.004***	0.017***		-0.005***	-0.004***
			(0.000)	(0.000)		(0.000)	(0.000)
ayudas_hog			0.000***	-0.061***		0.094***	-0.004***
			(0.000)	(0.002)		(0.003)	(0.000)
group_1	0.267***						
	(0.001)						
group_c	0.396***						
	(0.001)						
group_2	0.495***						
	(0.001)						
tdifference	-0.228***						
	(0.001)						
t_explained	-0.129***						
	(0.001)						
t_unexplained	-0.099***						
	(0.001)						
total		-0.129***			-0.099***		
		(0.001)			(0.001)		
p_explained		-0.115***					
		(0.001)					
specif_err		-0.014***					
		(0.001)					
rwg_error					-0.025***		
					(0.000)		
p_unexplained					-0.074***		
					(0.001)		
Constant				0.067***		-0.338***	
				(0.003)		(0.003)	
							
Observations	.	.	.	.	.	.	.
Standard errors in parentheses							
*** p<0.01, ** p<0.05, * p<0.1							
