	(1)	(2)	(3)	(4)	(5)	(6)	(7)
VARIABLES	Overall	explained	p_explained	specif_err	unexplained	p_unexplained	rwg_error
							
miembros_h			-0.020***	-0.011***		0.016***	-0.005***
			(0.000)	(0.003)		(0.004)	(0.000)
p_muj			-0.000**	-0.012***		-0.026***	-0.000
			(0.000)	(0.003)		(0.004)	(0.000)
niños_hog			-0.004***	0.032***		-0.059***	-0.000***
			(0.000)	(0.003)		(0.005)	(0.000)
educ_hog			-0.024***	0.038***		0.019***	-0.007***
			(0.001)	(0.002)		(0.003)	(0.000)
jefe_mujer			0.003***	-0.004***		0.009***	0.000*
			(0.000)	(0.000)		(0.001)	(0.000)
jefe_edad			0.001***	0.002***		-0.001	-0.000***
			(0.000)	(0.000)		(0.001)	(0.000)
jefe_cp			0.011***	-0.021***		0.001	-0.002***
			(0.000)	(0.001)		(0.001)	(0.001)
t_des			-0.008***	-0.008***		-0.002***	0.001***
			(0.000)	(0.001)		(0.001)	(0.000)
ing_nolab_hog			-0.001***	0.013***		-0.005***	-0.004***
			(0.000)	(0.000)		(0.000)	(0.000)
ayudas_hog			-0.001***	-0.051***		0.067***	-0.004***
			(0.000)	(0.002)		(0.005)	(0.000)
group_1	0.133***						
	(0.001)						
group_c	0.185***						
	(0.001)						
group_2	0.286***						
	(0.002)						
tdifference	-0.153***						
	(0.002)						
t_explained	-0.052***						
	(0.001)						
t_unexplained	-0.101***						
	(0.002)						
total		-0.052***			-0.101***		
		(0.001)			(0.002)		
p_explained		-0.044***					
		(0.001)					
specif_err		-0.008***					
		(0.001)					
rwg_error					-0.021***		
					(0.001)		
p_unexplained					-0.080***		
					(0.002)		
Constant				0.012***		-0.100***	
				(0.004)		(0.006)	
							
Observations	.	.	.	.	.	.	.
Standard errors in parentheses							
*** p<0.01, ** p<0.05, * p<0.1							
