"REGION"|"SUBREGION"|"PROVINCIA"|"CLAVE"|"EXPAN"|"AÑO"|"TRIMESTRE"|"CV1A01"|"CV1A02"|"CV1B01_A"|"CV1B01_B"|"CV1B01_C"|"CV1B02"|"CV1B03"|"CV1B04"|"CV1B05"|"CV1B06"|"CV1B07"|"CV1B08"|"CV1B09"|"CV1B10"|"CV1B11"|"CV1B12"|"CV1C01"|"CH01_A"|"CH01_B"|"CH01_C"|"CH01_D"|"CH02_A"|"CH02_B"|"CH03"|"CH04"|"CH05"|"CH06"|"CH07"|"CH08"|"CH09"|"CH10"|"CH11"|"CH12"|"CH13_A"|"CH13_B"|"CH14"|"CH15"|"JSEXO"|"JEDAD"|"JGRUPEDAD"|"JCOMED2"|"JCOMED3"|"JCONDOCUP"|"JCATOCUP_S"|"JCATOCUP_A"|"JNIVINS"|"JSITOCUP"|"JCATOCUP"|"JCOMED"|"CANTMIEM"|"MENOR14"|"MAYOR65"|"CANTPING"|"PERMIEOC"|"TASADEP"|"CANTADEQUI"|"MIEMAGRUP"|"CANTOCUP"|"REGTEN"|"PROPAUTO"|"PROPAUTO2"|"TIPOHOG"|"GC_1"|"GC_2"|"GC_3"|"GC_4"|"GC_5"|"GC_6"|"GC_7"|"GC_8"|"GC_9"|"GASTOT"|"FP_CONTADO"|"FP_CREDITO"|"FP_TRABAJO"|"FP_TARJETAS"|"FP_OTRAS"|"FP_INDEF"|"TN_AUTOSERV"|"TN_COMEDOR"|"TN_RESTAURANT"|"TN_ESPECIE"|"TN_INTERNET"|"TN_HIPSUP"|"TN_OTROS"|"TN_INDEF"|"INGTOTH"|"INGPCH"|"MINGTOTH"|"MINGPCH"|"M_NRING"|"GASCOMP"|"GASVENT"|"DECGAPHR"|"DECGAPHT"|"QUIGAPHR"|"QUIGAPHT"|"VINPCH_R"|"DECIMPHT"|"DECIMTHT"|"DECIPPHT"|"DECIPTHT"|"DECIMPHTEXPAN"|"DECIMTHTEXPAN"|"DECIPPHTEXPAN"|"DECIPTHTEXPAN"|"QUI23PHR"|"GASTOC2C3"|"DECGAPHREXPAN"|"DECGAPHTEXPAN"|"DECGAPHP"|"DECGAPHPEXPAN"
"1"|"1A"|"2"|"6900"|2247|2012|1|"2"|""|"1"|"1"|"1"|"4"|"4"|"2"|"1"|"1"|"1"|"1"|"1"|"1"|"1"|"1"|"1"|"3"|"3"|"3"|"3"|"3"|"3"|"1"|2|2|"1"|"1"|"1"|"1"|"1"|"2"|2|"1"|"1"|"3"|""|1|66|4|"2"|"2"|"2"|""|""|"04"|"1"|""|"1"|7|2|1|4|2,33333|1,75|4,69|5|3|"1"|"1"|"1"|"4"|1820,12|0|1377|194,24|103,2|451,96|0|0|133,3|4079,82|4079,82|0|0|0|0|0|2736,39|0|0|0|0|33,97|9,46|1300|4733,33|676,19|3500|500|1|4079,82|0|2|2|1|1|3|2|4|2|5|2|4|2|5|1|3737,11|1|2|1|1
"1"|"1A"|"2"|"5229"|1771|2012|1|"2"|""|"1"|"1"|"1"|"1"|"4"|"5"|"1"|"1"|"1"|"1"|"1"|"1"|"1"|"4"|"1"|"3"|"3"|"3"|"3"|"3"|"3"|"1"|5|2|"1"|"4"|"1"|"1"|"1"|"2"|1|"1"|"1"|"1"|"2"|2|55|3|"2"|"2"|"1"|"1"|""|"10"|"2"|"1"|"1"|3|0|0|2|1,5|1,5|2,8|3|2|"2"|"2"|"2"|"3"|4204,33|1100|309,5|1497,83|1300,83|2197,39|5471,67|215|9,25|16305,8|3656,55|11249,25|0|0|0|0|6079,65|0|3452,9|0|0|18,28|345,72|6409,25|28300|9433,33333|25800|8600|1|16305,8|0|10|10|5|5|19|10|10|10|10|10|10|10|10|5|12551,25|10|10|9|9
"1"|"1A"|"2"|"12092"|1788|2012|1|"2"|""|"1"|"1"|"1"|"4"|"4"|"3"|"1"|"1"|"1"|"1"|"1"|"1"|"1"|"2"|"1"|"3"|"3"|"3"|"3"|"3"|"3"|"1"|3|1|"1"|"1"|"1"|"1"|"1"|"2"|2|"1"|"1"|"1"|"2"|1|31|1|"3"|"4"|"1"|""|""|"10"|"2"|"1"|"1"|1|0|0|1|1|1|1|1|1|"2"|"1"|"1"|"1"|692,09|0|77,5|333,33|0|544|587,16|0|54,83|2288,91|2288,91|0|0|0|0|0|987,52|215|227,9|0|0|341,66|0|516,83|3500|3500|3500|3500|0|2288,91|0|7|8|4|4|14|9|4|9|4|9|4|8|3|4|1920,18|7|7|5|5
"1"|"1A"|"2"|"443"|1788|2012|1|"2"|""|"1"|"1"|"1"|"5"|"4"|"1"|"1"|"1"|"1"|"1"|"1"|"1"|"1"|"1"|"1"|"3"|"3"|"3"|"3"|"3"|"3"|"1"|1|1|"2"|""|"1"|"1"|"1"|"3"|2|"1"|"1"|"3"|""|1|28|1|"1"|"1"|"1"|""|""|"06"|"2"|"1"|"2"|1|0|0|1|1|1|1,06|1|1|"1"|"1"|"1"|"1"|645,87|100|1500|0|0|51,5|0|0|60|2357,37|2357,37|0|0|0|0|0|534,87|0|301|0|0|0|21,5|1500|2466,67|2466,67|2800|2800|1|2357,37|0|7|8|4|4|14|8|3|7|2|8|3|7|2|4|2034,87|7|8|5|5
"1"|"1A"|"2"|"5025"|1264|2012|1|"2"|""|"1"|"1"|"1"|"4"|"4"|"2"|"1"|"1"|"1"|"1"|"1"|"1"|"1"|"2"|"1"|"3"|"3"|"3"|"3"|"3"|"3"|"1"|2|2|"1"|"1"|"1"|"1"|"1"|"2"|1|"1"|"1"|"3"|""|1|20|1|"3"|""|"2"|""|""|"09"|"1"|""|"1"|2|0|0|2|2|1|2,12|2|1|"1"|"1"|"1"|"4"|2192,37|360|1587,33|395,37|0|101,91|778,66|306,94|427,13|6149,71|3426,02|2483,69|0|0|0|0|1889,02|174,15|0|0|0|2026,63|99,24|1960,67|3066,67|1533,335|3400|1700|1|6149,71|0|8|9|4|5|16|6|4|5|3|6|4|4|3|5|5479,81|8|9|7|6
"1"|"1A"|"2"|"16510"|2270|2012|1|"2"|""|"1"|"1"|"1"|"4"|"4"|"5"|"1"|"1"|"1"|"1"|"1"|"1"|"1"|"4"|"1"|"3"|"3"|"3"|"3"|"3"|"3"|"1"|5|2|"1"|"2"|"1"|"1"|"1"|"2"|1|"1"|"1"|"5"|""|1|37|2|"2"|"2"|"1"|""|""|"09"|"2"|"1"|"1"|5|3|0|2|2,5|2,5|3,53|5|2|"2"|"2"|"2"|"3"|350,45|30|81|0|0|560|260|300|0|1581,45|1581,45|0|0|0|0|0|1281,45|0|0|0|0|0|0|300|8000|1600|8000|1600|1|1581,45|0|1|1|1|1|1|6|8|5|8|5|8|4|8|1|1581,45|1|1|1|1
"1"|"1A"|"2"|"2940"|1364|2012|1|"2"|""|"1"|"1"|"1"|"4"|"4"|"1"|"1"|"1"|"1"|"1"|"1"|"1"|"1"|"1"|"1"|"3"|"3"|"3"|"3"|"3"|"3"|"1"|1|1|"1"|"1"|"1"|"1"|"1"|"3"|1|"1"|"1"|"3"|""|2|20|1|"2"|"2"|"2"|""|"1"|"06"|"1"|""|"1"|1|0|0|1||1|0,74|1|0|"1"|"1"|"1"|"1"|1322,47|250|1931|143,16|0|0|200|0|0|3846,63|3258,23|588,4|0|0|0|0|347,66|0|369,8|0|0|1029,17|200|1900|12200|12200|12200|12200|0|3846,63|0|9|10|5|5|17|10|10|10|10|10|10|10|9|5|3193,23|9|9|8|7
"1"|"1A"|"2"|"8402"|3238|2012|2|"2"|""|"1"|"1"|"1"|"4"|"4"|"3"|"1"|"1"|"1"|"1"|"1"|"1"|"1"|"2"|"1"|"3"|"3"|"1"|"1"|"3"|"3"|"1"|3|2|"1"|"2"|"1"|"1"|"1"|"1"|1|"1"|"1"|"3"|""|2|24|1|"3"|""|"2"|""|""|"09"|"1"|""|"1"|1|0|0|1||1|0,74|1|0|"1"|"1"|"1"|"1"|1313,08|445|3028,41|245,5|846,32|470,02|261,65|1700|257,18|8567,16|8567,16|0|0|0|0|0|2684,99|0|533,2|0|0|693,63|0|4655,34|6500|6500|6500|6500|0|8567,16|0|10|10|5|5|20|10|7|10|7|10|7|10|7|5|7834,01|10|10|10|10
"1"|"1A"|"2"|"6778"|4325|2012|2|"2"|""|"1"|"1"|"1"|"4"|"4"|"3"|"1"|"1"|"1"|"1"|"1"|"1"|"1"|"2"|"1"|"3"|"3"|"3"|"3"|"3"|"3"|"1"|3|2|"1"|"1"|"1"|"1"|"1"|"2"|1|"1"|"1"|"3"|""|2|47|2|"2"|"2"|"1"|""|""|"10"|"2"|"1"|"1"|2|0|0|2|2|1|1,74|2|1|"1"|"1"|"1"|"2"|1045,86|0|3027,5|993,83|300|221,68|701,33|350|779,2|7419,4|8179,07|0|190|0|217|0|1613,43|0|0|190|0|1392,79|1627,52|2595,66|18395,83|9197,915|7500|3750|1|9086,07|-1666,67|9|9|5|5|17|9|8|10|10|9|8|10|10|5|5473,65|9|9|7|7
"1"|"1A"|"2"|"14783"|4007|2012|2|"2"|""|"1"|"1"|"1"|"4"|"4"|"2"|"1"|"1"|"1"|"1"|"1"|"1"|"1"|"2"|"1"|"3"|"3"|"3"|"3"|"3"|"3"|"1"|2|1|"1"|"1"|"1"|"1"|"1"|"4"|2|"1"|"1"|"3"|""|1|33|1|"3"|"4"|"1"|""|""|"10"|"2"|"1"|"1"|2|0|0|2|1|1|1,74|2|2|"1"|"1"|"1"|"2"|741,75|144|2184|10|500|849|642|69|0|5139,75|4639,75|500|0|0|0|0|2188,62|0|215|0|0|254,13|10|2472|7583,34|3791,67|6900|3450|1|5139,75|0|8|8|4|4|15|9|8|9|8|9|8|9|8|4|5036,55|7|8|6|5
"1"|"1A"|"2"|"14648"|5196|2012|3|"2"|""|"1"|"1"|"1"|"4"|"4"|"3"|"1"|"1"|"1"|"1"|"1"|"1"|"1"|"1"|"1"|"3"|"3"|"3"|"3"|"3"|"3"|"1"|3|2|"1"|"2"|"1"|"1"|"1"|"1"|2|"1"|"1"|"4"|""|1|54|3|"2"|"2"|"1"|""|""|"03"|"2"|"1"|"1"|5|1|0|3|1,66667|1,6666666667|4,33|5|3|"2"|"1"|"1"|"3"|745,62|190|0|144,98|0|645,42|210|0|200,94|2136,96|2136,96|0|0|0|0|0|1480,28|0|78,26|0|0|0|388,42|190|8600|1720|8600|1720|1|2136,96|0|1|1|1|1|2|6|9|6|8|6|9|5|8|1|1431,63|1|1|1|1
