"PROVINCIA"|"DESCRIPCION"|"REGION"|"SUBREGION"
2|"CIUDAD DE BS AS"|"1"|"1A"
82|"SANTA FE"|"2"|"2B"
46|"LA RIOJA"|"3"|"3B"
66|"SALTA"|"3"|"3A"
6|"BUENOS AIRES"|"2"|"2C"
99|"Nivel central-INDEC"|"1"|"1A"
10|"CATAMARCA"|"3"|"3B"
30|"ENTRE RIOS"|"2"|"2B"
38|"JUJUY"|"3"|"3A"
14|"CORDOBA"|"2"|"2A"
18|"CORRIENTES"|"4"|"4A"
22|"CHACO"|"4"|"4B"
26|"CHUBUT"|"6"|"6B"
34|"FORMOSA"|"4"|"4B"
42|"LA PAMPA"|"2"|"2A"
50|"MENDOZA"|"5"|"5"
54|"MISIONES"|"4"|"4A"
58|"NEUQUEN"|"6"|"6A"
62|"RIO NEGRO"|"6"|"6A"
70|"SAN JUAN"|"5"|"5"
74|"SAN LUIS"|"5"|"5"
78|"SANTA CRUZ"|"6"|"6B"
86|"SGO.DEL ESTERO"|"3"|"3B"
90|"TUCUMAN"|"3"|"3A"
94|"TIERRA DEL FUEGO"|"6"|"6B"
