"REGION"|"SUBREGION"|"PROVINCIA"|"EXPAN"|"CLAVE"|"MIEMBRO"|"CONDOCUP"|"CATOCUP"|"CP24"|"CATOCUP_S"|"CATOCUP_A"|"INGTOTP"|"M_INGTOTP"|"INGTOTP_IMP"|"CANTFTOT"|"CANTFIMP"|"INGLABT"|"M_INGLABT"|"INGLABT_IMP"|"INGOCPAL"|"M_INGOCPAL"|"INGOCSEC"|"M_INGOCSEC"|"INGOCANT"|"M_INGOCANT"|"IJUBILACION"|"M_IJUBILACION"|"IRENTAS"|"M_IRENT"|"ITRANSFERMON"|"M_ITRANSFERMON"|"IAUTOCONSUMO"|"M_IAUTOCONSUMO"
"6"|"6B"|"26"|204|"14330"|2|"1"|"1"|"1"|""|""|4566,67|"0"|0|2|0|4566,67|"0"|0|4566,67|"0"|0|"0"|0|"0"|0|"0"|0|"0"|0|"0"|0|"0"
"6"|"6B"|"26"|132|"12991"|1|"1"|"1"|"1"|""|""|3433,33|"0"|0|2|0|3433,33|"0"|0|3433,33|"0"|0|"0"|0|"0"|0|"0"|0|"0"|0|"0"|0|"0"
"6"|"6B"|"26"|116|"6672"|2|"2"|""|""|""|""|5000|"0"|0|1|0|0|"0"|0|0|"0"|0|"0"|0|"0"|5000|"0"|0|"0"|0|"0"|0|"0"
"6"|"6B"|"26"|107|"16131"|1|"1"|"2"|"1"|""|""|4233,33|"0"|0|3|0|3733,33|"0"|0|3733,33|"0"|0|"0"|0|"0"|0|"0"|0|"0"|500|"0"|0|"0"
"6"|"6B"|"26"|120|"6073"|3|"1"|"1"|"1"|""|""|6209,19|"0"|0|2|0|6209,19|"0"|0|6209,19|"0"|0|"0"|0|"0"|0|"0"|0|"0"|0|"0"|0|"0"
"6"|"6B"|"26"|172|"3111"|1|"1"|"2"|"1"|""|""|8200|"0"|0|3|0|6000|"0"|0|6000|"0"|0|"0"|0|"0"|2200|"0"|0|"0"|0|"0"|0|"0"
"6"|"6B"|"26"|205|"13674"|2|"1"|"2"|"1"|""|""|1466,67|"0"|0|2|0|1466,67|"0"|0|1466,67|"0"|0|"0"|0|"0"|0|"0"|0|"0"|0|"0"|0|"0"
"6"|"6B"|"26"|333|"1174"|2|"1"|"1"|"2"|"2"|""|3865|"0"|0|2|0|3865|"0"|0|2315|"0"|1550|"0"|0|"0"|0|"0"|0|"0"|0|"0"|0|"0"
"6"|"6B"|"26"|452|"10975"|2|"1"|"1"|"1"|""|""|2450|"0"|0|2|0|2450|"0"|0|2450|"0"|0|"0"|0|"0"|0|"0"|0|"0"|0|"0"|0|"0"
"6"|"6B"|"26"|296|"11296"|1|"1"|"1"|"1"|""|""|4492|"0"|0|2|0|4492|"0"|0|4492|"0"|0|"0"|0|"0"|0|"0"|0|"0"|0|"0"|0|"0"
