	(1)	(2)	(3)	(4)	(5)	(6)	(7)
VARIABLES	Overall	explained	p_explained	specif_err	unexplained	p_unexplained	rwg_error
							
miembros_h			-0.026***	-0.053***		0.005	0.003***
			(0.001)	(0.004)		(0.003)	(0.000)
p_muj			0.002**	0.037***		-0.022***	0.007***
			(0.001)	(0.004)		(0.003)	(0.000)
niños_hog			-0.064***	-0.000***		0.003*	0.032***
			(0.008)	(0.000)		(0.002)	(0.002)
educ_hog			-0.069***	0.154***		0.034***	-0.013***
			(0.001)	(0.006)		(0.003)	(0.000)
jefe_mujer			0.029***	-0.048***		0.016***	0.006***
			(0.003)	(0.004)		(0.001)	(0.001)
jefe_edad			-0.008***	-0.000***		0.000	0.003***
			(0.001)	(0.000)		(0.000)	(0.000)
jefe_cp			-0.024***	-0.000***		0.010***	0.012***
			(0.001)	(0.000)		(0.001)	(0.001)
t_plf			0.014***	0.017***		-0.020***	-0.003***
			(0.001)	(0.001)		(0.001)	(0.001)
t_des			0.088***	-0.088***		0.016***	-0.034***
			(0.002)	(0.003)		(0.000)	(0.001)
ing_nolab_hog			-1.241***	1.174***		-0.003***	0.073***
			(0.071)	(0.071)		(0.000)	(0.002)
ayudas_hog			0.004***	-0.004		0.013***	-0.004***
			(0.001)	(0.007)		(0.002)	(0.000)
group_1	0.075***						
	(0.000)						
group_c	0.001***						
	(0.000)						
group_2	0.197***						
	(0.002)						
tdifference	-0.122***						
	(0.002)						
t_explained	-0.196***						
	(0.002)						
t_unexplained	0.074***						
	(0.001)						
total		-0.196***			0.074***		
		(0.002)			(0.001)		
p_explained		-1.292***					
		(0.070)					
specif_err		1.096***					
		(0.070)					
rwg_error					0.082***		
					(0.001)		
p_unexplained					-0.008***		
					(0.001)		
Constant				-0.091***		-0.061***	
				(0.011)		(0.007)	
							
Observations	.	.	.	.	.	.	.
Standard errors in parentheses							
*** p<0.01, ** p<0.05, * p<0.1							
