	(1)	(2)	(3)	(4)	(5)	(6)	(7)
VARIABLES	Overall	explained	p_explained	specif_err	unexplained	p_unexplained	rwg_error
							
miembros_h			-0.017***	-0.033***		0.001	-0.001***
			(0.000)	(0.001)		(0.001)	(0.000)
p_muj			0.002***	-0.014***		0.007***	0.002***
			(0.000)	(0.002)		(0.001)	(0.000)
niños_hog			-0.014***	0.000		-0.001	0.013***
			(0.001)	(0.000)		(0.001)	(0.000)
educ_hog			-0.045***	0.081***		0.011***	0.006***
			(0.000)	(0.002)		(0.001)	(0.000)
jefe_mujer			-0.000*	-0.005***		0.005***	0.000
			(0.000)	(0.000)		(0.000)	(0.000)
jefe_edad			-0.008***	-0.000***		-0.003***	0.004***
			(0.000)	(0.000)		(0.000)	(0.000)
jefe_cp			-0.015***	-0.000***		-0.002***	0.008***
			(0.000)	(0.000)		(0.000)	(0.000)
t_plf			-0.001***	0.014***		-0.004***	-0.001***
			(0.000)	(0.001)		(0.001)	(0.000)
t_des			-0.037***	-0.000***		0.006***	0.011***
			(0.000)	(0.000)		(0.000)	(0.000)
ing_nolab_hog			-0.721***	0.726***		-0.002***	-0.002***
			(0.031)	(0.031)		(0.000)	(0.001)
ayudas_hog			0.009***	0.000		0.002**	-0.007***
			(0.001)	(0.000)		(0.001)	(0.000)
group_1	0.026***						
	(0.000)						
group_c	0.001***						
	(0.000)						
group_2	0.074***						
	(0.000)						
tdifference	-0.048***						
	(0.000)						
t_explained	-0.073***						
	(0.000)						
t_unexplained	0.025***						
	(0.000)						
total		-0.073***			0.025***		
		(0.000)			(0.000)		
p_explained		-0.847***					
		(0.030)					
specif_err		0.774***					
		(0.030)					
rwg_error					0.033***		
					(0.000)		
p_unexplained					-0.008***		
					(0.000)		
Constant				0.006**		-0.029***	
				(0.002)		(0.002)	
							
Observations	.	.	.	.	.	.	.
Standard errors in parentheses							
*** p<0.01, ** p<0.05, * p<0.1							
