	(1)	(2)	(3)	(4)	(5)	(6)	(7)
VARIABLES	Overall	explained	p_explained	specif_err	unexplained	p_unexplained	rwg_error
							
miembros_h			-0.019***	-0.044***		0.041***	-0.004***
			(0.000)	(0.002)		(0.002)	(0.000)
p_muj			-0.000	-0.018***		0.014***	0.000***
			(0.000)	(0.002)		(0.002)	(0.000)
niños_hog			-0.008***	0.039***		-0.045***	-0.001***
			(0.000)	(0.002)		(0.003)	(0.000)
educ_hog			-0.065***	0.013***		0.129***	-0.009***
			(0.000)	(0.001)		(0.002)	(0.000)
jefe_mujer			0.008***	-0.005***		0.010***	0.000**
			(0.000)	(0.000)		(0.000)	(0.000)
jefe_edad			0.001***	0.003***		-0.007***	-0.000***
			(0.000)	(0.000)		(0.000)	(0.000)
jefe_cp			0.005***	-0.013***		0.022***	-0.002***
			(0.000)	(0.001)		(0.001)	(0.000)
t_plf			-0.010***	0.007***		-0.002**	-0.002***
			(0.000)	(0.001)		(0.001)	(0.000)
t_des			-0.019***	-0.011***		0.013***	-0.001***
			(0.000)	(0.000)		(0.000)	(0.000)
ing_nolab_hog			-0.005***	0.018***		-0.005***	-0.004***
			(0.000)	(0.000)		(0.000)	(0.000)
ayudas_hog			0.000***	-0.062***		0.090***	-0.004***
			(0.000)	(0.002)		(0.003)	(0.000)
group_1	0.275***						
	(0.001)						
group_c	0.398***						
	(0.001)						
group_2	0.501***						
	(0.001)						
tdifference	-0.226***						
	(0.001)						
t_explained	-0.123***						
	(0.001)						
t_unexplained	-0.103***						
	(0.001)						
total		-0.123***			-0.103***		
		(0.001)			(0.001)		
p_explained		-0.111***					
		(0.001)					
specif_err		-0.012***					
		(0.001)					
rwg_error					-0.027***		
					(0.001)		
p_unexplained					-0.076***		
					(0.001)		
Constant				0.062***		-0.337***	
				(0.003)		(0.004)	
							
Observations	.	.	.	.	.	.	.
Standard errors in parentheses							
*** p<0.01, ** p<0.05, * p<0.1							
