	(1)	(2)	(3)	(4)	(5)	(6)	(7)
VARIABLES	Overall	explained	p_explained	specif_err	unexplained	p_unexplained	rwg_error
							
miembros_h			-0.040***	-0.035***		0.051***	0.011***
			(0.001)	(0.004)		(0.004)	(0.001)
p_muj			0.003***	-0.027***		0.001	-0.001***
			(0.000)	(0.005)		(0.004)	(0.000)
niños_hog			-0.030***	-0.002		-0.018***	0.022***
			(0.002)	(0.003)		(0.003)	(0.001)
educ_hog			-0.168***	0.100***		0.016***	0.072***
			(0.004)	(0.007)		(0.002)	(0.001)
jefe_mujer			0.004***	-0.008***		0.013***	0.000
			(0.001)	(0.001)		(0.001)	(0.000)
jefe_edad			0.002***	0.007***		-0.002***	-0.004***
			(0.000)	(0.001)		(0.001)	(0.000)
jefe_cp			-0.009***	-0.035***		0.022***	0.011***
			(0.001)	(0.001)		(0.001)	(0.000)
t_plf			-0.018***	0.022***		0.001	0.008***
			(0.001)	(0.002)		(0.001)	(0.000)
t_des			-0.015***	-0.006***		0.003***	0.001***
			(0.000)	(0.000)		(0.000)	(0.000)
ing_nolab_hog			-0.251***	0.254***		-0.002***	0.003**
			(0.011)	(0.012)		(0.000)	(0.001)
ayudas_hog			0.008***	-0.022***		0.048***	-0.025***
			(0.002)	(0.003)		(0.004)	(0.001)
group_1	0.138***						
	(0.001)						
group_c	0.096***						
	(0.001)						
group_2	0.291***						
	(0.002)						
tdifference	-0.154***						
	(0.002)						
t_explained	-0.196***						
	(0.002)						
t_unexplained	0.042***						
	(0.001)						
total		-0.196***			0.042***		
		(0.002)			(0.001)		
p_explained		-0.512***					
		(0.011)					
specif_err		0.317***					
		(0.011)					
rwg_error					0.098***		
					(0.001)		
p_unexplained					-0.056***		
					(0.001)		
Constant				0.070***		-0.189***	
				(0.008)		(0.007)	
							
Observations	.	.	.	.	.	.	.
Standard errors in parentheses							
*** p<0.01, ** p<0.05, * p<0.1							
