Motivo,Cantidad
Relación de dependencia Titular o GF,1.987.804
Pasivo titular o GF,711.532
Plan Social Titular o GF,291.495
"No supera control socioeconómico, de gastos y otros",272.124
Monotributista Categoría Excluida,229.627
Otro miembro del GF titular en AUH,205.337
Extranjero con datos insuficientes,198.756
Otro integrante del GF solicitó IFE,159.591
No cumple requisito de edad,124.246
Desempleo Titular o GF,107.962
Autónomo titular o GF,99.486
Extranjero sin requisito de residencia,57.110
CUIL a verificar,40.520
Domicilio inválido,23.402
Residencia no permanente,13.755
DNI invalido,12.780
Titular no acreditado,12.275
Reside en el exterior,2.947
No supera control de ingresos,1.642
Titular fallecido,1.393
Denuncia,439
Otros,39
TOTAL,4.554.262
